entered,"February 26, 2019 at 08:59AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"February 26, 2019 at 05:36PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"February 27, 2019 at 09:06AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"February 27, 2019 at 10:53PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"February 28, 2019 at 08:50AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"February 28, 2019 at 11:16AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"February 28, 2019 at 02:21PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"February 28, 2019 at 05:52PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 4, 2019 at 09:24AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 4, 2019 at 06:03PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 5, 2019 at 09:13AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 5, 2019 at 03:36PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 6, 2019 at 09:18AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 6, 2019 at 05:51PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 11, 2019 at 09:06AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 11, 2019 at 06:23PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 12, 2019 at 09:05AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 12, 2019 at 05:54PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 13, 2019 at 08:58AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 13, 2019 at 05:29PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 14, 2019 at 09:03AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 14, 2019 at 06:04PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 15, 2019 at 09:02AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 15, 2019 at 04:59PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 18, 2019 at 09:12AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 18, 2019 at 05:54PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 19, 2019 at 09:25AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 19, 2019 at 06:10PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 20, 2019 at 09:02AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 20, 2019 at 12:49PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 20, 2019 at 01:42PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 20, 2019 at 06:06PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 21, 2019 at 09:29AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 21, 2019 at 05:39PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"March 22, 2019 at 09:10AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"March 22, 2019 at 05:02PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 1, 2019 at 09:05AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 1, 2019 at 05:24PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 2, 2019 at 09:08AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 2, 2019 at 05:36PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 3, 2019 at 09:02AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 3, 2019 at 06:53PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 4, 2019 at 09:10AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 4, 2019 at 05:12PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 8, 2019 at 09:05AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 8, 2019 at 06:10PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 9, 2019 at 09:31AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 9, 2019 at 07:12PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 10, 2019 at 09:08AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 10, 2019 at 06:08PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 11, 2019 at 09:02AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 11, 2019 at 05:13PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 12, 2019 at 09:10AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 12, 2019 at 06:29PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 15, 2019 at 09:11AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 15, 2019 at 04:53PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 23, 2019 at 09:05AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 23, 2019 at 12:53PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 23, 2019 at 01:22PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 23, 2019 at 06:45PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 24, 2019 at 09:11AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 24, 2019 at 06:01PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 25, 2019 at 09:03AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 25, 2019 at 05:36PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 26, 2019 at 09:10AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 26, 2019 at 07:34PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"April 29, 2019 at 09:13AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"April 29, 2019 at 06:46PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 2, 2019 at 09:05AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 2, 2019 at 06:02PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 3, 2019 at 09:02AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 3, 2019 at 06:07PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 6, 2019 at 09:04AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 6, 2019 at 05:51PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 7, 2019 at 09:03AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 7, 2019 at 06:20PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 8, 2019 at 09:06AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 8, 2019 at 06:00PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 9, 2019 at 09:08AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 9, 2019 at 05:37PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 14, 2019 at 09:54AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 14, 2019 at 06:59PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 15, 2019 at 09:06AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 15, 2019 at 06:32PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 16, 2019 at 08:50AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
exited,"May 16, 2019 at 06:17PM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
entered,"May 17, 2019 at 09:02AM","https://maps.google.com/?q=48.137549172448054,11.635547399999933&z=18"
